createdAt;updatedAt;importId;externalId;source;title;subtitle;externalLink;state;types;isbn10;isbn13;releaseDate;description;remoteImageUrl;thumbnailRemoteImageUrl;externalAverageRating;userRating;pages;languages;purchaseDate;series;location;bookcase;shelf;authors;publishers;categories;tags;readingStatus;startReading;endReading
2023-04-17;2023-04-27;2F2F3536-531A-4262-A084-401AD433F1CE;DmH8swEACAAJ;GOOGLE_BOOKS;... trotzdem Ja zum Leben sagen;;http://books.google.de/books?id=DmH8swEACAAJ&hl=&source=gbs_api;BOOKSHELF;PAPERBACK;3328102779;9783328102779;2018-01-01;"Der österreichische Psychologe und Begründer der Logotherapie überlebte als Häftling die Konzentrationslager Auschwitz und Dachau. Diese Zusammenfassung seiner beiden Texte ""Ein Psychologe erlebt das Konzentrationslager"" und ""Synchronisation in Birkenwald"" verblüfft durch ihre ruhige Distanz. Rezension: Der österreichische Psychologe Viktor E. Frankl erlebte und überlebte als Häftling die nationalsozialistischen Konzentrationslager Auschwitz und Dachau. Seine beiden Texte ""Ein Psychologe erlebt das Konzentrationslager"" und ""Synchronisation in Birkenwald"" stammen aus der unmittelbaren Nachkriegszeit und verblüffen durch ihre ruhige Distanz. Sie sind auch ein Zeichen der Hoffnung auf menschlichen Anstand des Autors. Ein wichtiges Zeugnis. Die Texte, als Quellentexte zum Grundbestand beim Thema ""Verfolgung/KZ"" gehörig, sind in diversen Ausgabe und Auflagen publiziert worden (vgl. 1988). - Als Taschenbuch ist diese Ausgabe zur Ersatzbeschaffung oder zur Ergänzung von Schulbuchbeständen empfohlen. (2 S).";;;;;192;de;;;;;;Frankl,Viktor E.;Penguin Verlag;;;read;2023-04-17;2023-04-27
2021-04-09;2023-01-29;2797920A-F971-435F-80B6-5919256C408B;wnarAQAACAAJ;GOOGLE_BOOKS;Allein über den Ozean;;http://books.google.de/books?id=wnarAQAACAAJ&hl=&source=gbs_api;BOOKSHELF;PAPERBACK;;;;Einbaum, Atlantik, Faltboot, Segeln.;;;5.0;;225;de;;;;;;Lindemann,Hannes;Scheffler;"Adventure;Psychology";"Autogenic training |||#376B38;Globetrotter|||#376B38";read;2021-02-17;2022-03-03
2022-05-08;2022-05-12;8AF59F3D-7197-47BF-86BE-3C953EEB2D71;zzFAjwEACAAJ;GOOGLE_BOOKS;Anleitung für eine Revolution;;http://books.google.de/books?id=zzFAjwEACAAJ&hl=&source=gbs_api;BOOKSHELF;EBOOK;3446247742;9783446247741;;Mit zehn Jahren wird Nadeschda Tolokonnikowa Feministin, mit sechzehn Philosophiestudentin, mit einundzwanzig Mitbegründerin der Band Pussy Riot. Mit ihrem Punk-Gebet macht die Gruppe die Welt 2012 auf die Verquickung von Kirche und Staatsmacht in Russland aufmerksam. Als Putins Richter sie verurteilen, nutzt sie die Bühne des Gerichts für eine Verteidigung der Freiheit und der Menschenrechte. Und während ihr Land sich der autokratischen Herrschaft ergibt, beharren sie und ihre Mitstreiterinnen darauf, dass Widerstand möglich ist. 'Anleitung für eine Revolution' erzählt Nadeschda Tolokonnikowas Geschichte, und zugleich ist es ihr Manifest. Es handelt vom Kampf gegen ein System, in dem nur frei ist, wer sich anpasst. Nadeschda Tolokonnikowa (geboren 1989) wuchs in Norilsk auf, einem der am schlimmsten umweltbelasteten Orte der Welt. Mit sechzehn Jahren begann sie ihr Philosophiestudium in Moskau, wo sie sich der künstlerischen Avantgardeszene anschloss und die Bewegung Pussy Riot mitbegründete. Nach dem 'Punk-Gebet', mit dem Pussy Riot die enge Verflechtung von Kirche und Staat in Russland kritisierten, wurde sie 2012 zu zwei Jahren Haft im Straflager verurteilt. Seit ihrer Freilassung engagiert sich die Politaktivistin für menschlichere Bedingungen im russischen Strafvollzug. Nadeschda lebt mit ihrem Mann und ihrer siebenjährigen Tochter in Moskau.;;http://books.google.com/books/content?id=zzFAjwEACAAJ&printsec=frontcover&img=1&zoom=1&imgtk=AFLRE72pDq0LimB8P7XryVJ4BItQBXpvQbPlVUnBq5SoSkRja4M0Pz7i1rkyb_gbS-i-mVtmGpxg-v226Etft5G55KRk4pWdU1S_D-XVfshUHOeuhVHHgpxzLQ85k4cZlwZ9NzoDy3EK&source=gbs_api;3.0;;219;de;;;;;;Tolokonnikova,Nadežda;Hanser Berlin;;;read;2022-05-10;2022-05-11
2021-01-18;2021-02-03;0B83A97A-E99C-4702-BA0E-5B76D41EFB88;cJh-wgEACAAJ;GOOGLE_BOOKS;Antigone.;;http://books.google.de/books?id=cJh-wgEACAAJ&hl=&source=gbs_api;BOOKSHELF;PAPERBACK;380440331X;9783804403314;;;;;1.0;;96;;;;;;;Sophokles;Bange C. GmbH;Philosophie;Antique|||#6666FFFFFFFFFFFFFFFF;read;2021-01-18;2021-01-18
2022-05-30;2022-08-01;F7502E71-EAF3-4DF5-B2EA-BD2E85A48A50;8QIFQAAACAAJ;GOOGLE_BOOKS;Antwort auf Hiob;;http://books.google.de/books?id=8QIFQAAACAAJ&dq=isbn:9783423150620&hl=&cd=1&source=gbs_api;BOOKSHELF;PAPERBACK;3423150629;9783423150620;;;;;;;124;de;;;;;;Jung,Carl G.;Dt. Taschenbuch-Verlag;Bible;;read;2022-05-30;2022-06-03
2022-11-23;2023-04-01;46954369-8263-498C-B37B-7902445E5A9D;3A0dRgAACAAJ;GOOGLE_BOOKS;Archetypen;;http://books.google.de/books?id=3A0dRgAACAAJ&dq=C.G.+Jung-Taschenbuchausgabe,+Archetypen&hl=&cd=1&source=gbs_api;BOOKSHELF;PAPERBACK;3423351756;9783423351751;2001-01-01;Das Modell der Archetypen gehört zu den Grundpfeilern der Analytischen Psychologie nach C.G. Jung. Was sind Archetypen? Vereinfacht gesagt - die im kollektiven Unbewußten angesiedelten Urbilder menschlicher Vorstellungsmuster. Vor allem elementare Erfahrungen wie Geburt, Ehe, Mutterschaft, Trennung und der Tod haben in der Seele der Menschen eine archetypische Verankerung. Sie haben zu allen Zeiten und in den unterschiedlichsten Kulturen ähnliche Bilder hervorgebracht und können als kollektive Menschheitserfahrungen gelten. C.G. Jungs Modell versucht, diese Archetypen im Leben eines jeden Menschen wahrzunehmen und für die seelische Entwicklung nutzbar zu machen. Dieser Band versammelt aus den zahlreichen Schriften Jungs zum Archetypus diejenigen, die am klarsten seine Ideen zum Ausdruck bringen.;;http://books.google.com/books/content?id=3A0dRgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api;;;189;de;;;;;;Jung,Carl Gustav;Dt. Taschenbuch-Verlag;Archetype (Psychology);;read;2023-03-28;2023-03-31
2022-05-21;2022-05-23;0071DD5E-25D1-403A-9040-B57216EC8871;vGBdAAAACAAJ;GOOGLE_BOOKS;Auge um Auge;;http://books.google.de/books?id=vGBdAAAACAAJ&dq=isbn:9783499130663&hl=&cd=1&source=gbs_api;BOOKSHELF;PAPERBACK;3499130661;9783499130663;;;;;;;239;de;;;;;;Beauvoir,Simone de;Rowohlt;;;read;2022-05-21;2022-05-23
2022-03-03;2022-03-16;AC775ACD-F022-4CE3-BFF9-E356628D2CA4;wOPZzgEACAAJ;GOOGLE_BOOKS;Bartimäus;;http://books.google.de/books?id=wOPZzgEACAAJ&hl=&source=gbs_api;BOOKSHELF;PAPERBACK;344236762X;9783442367627;;Der Dschinn Bartimäus bekommt eines Tages in London den Auftrag, dem hochnäsigen Zauberschüler Nathanael zur Seite zu stehen: ein Auftrag, der Bartimäus zunächst alles andere als glücklich macht. Doch schon bald stecken die beiden in einem Abenteuer, das sie wie Pech und Schwefel zusammenschweißt. Nathanael versucht sich am mächtigen Zauberer Simon Lovelace zu rächen und ihm das berühmte Amulett von Samarkand zu stehlen. Und mit Bartimäus' Hilfe könnte ihm das auch gelingen. Ab 12.;;http://books.google.com/books/content?id=wOPZzgEACAAJ&printsec=frontcover&img=1&zoom=1&imgtk=AFLRE73ajGZZZOgUAZW0TY3UfYtRX7ldFcqV3RLkv6LWuFWZy1Qafh_7Uv7VDM-9vgil2cnzz9c7PLDwUiB8VR_Xsixcfvt-ltm7KQWBpEIiljKfCmZOGAkUNhHV1X8VMmNiQVI2TFyp&source=gbs_api;;;539;de;;;;;;Stroud,Jonathan;Blanvalet;;;read;2022-03-03;2022-03-16
2021-03-18;2021-05-10;F0C5D08F-A3B9-48C1-AC0A-9622854661F2;heYLzgEACAAJ;GOOGLE_BOOKS;Beyond Order;;http://books.google.de/books?id=heYLzgEACAAJ&hl=&source=gbs_api;BOOKSHELF;PAPERBACK;0593420160;9780593420164;;;;;;;402;en;;;;;;Peterson,Jordan B.;Penguin LCC US;"Philosophie;Psychology";Self-Developement|||#020066;read;2021-03-18;2021-04-17
2022-10-29;2022-11-17;EDDF0680-9C58-4998-8BA4-92BA809E0380;kEnrBwAAQBAJ;GOOGLE_BOOKS;Bismarck;;http://books.google.de/books?id=kEnrBwAAQBAJ&printsec=frontcover&dq=Bismarck+ein&hl=&cd=1&source=gbs_api;BOOKSHELF;EBOOK;3406675905;9783406675904;2015-04-07;"Auch 200 Jahre nach seiner Geburt ist Otto von Bismarck eine hochgradig umstrittene, von Mythen umwobene Gestalt. Christoph Nonn schaut hinter die Legenden und entdeckt einen Mann, dessen Zeit unserer heutigen verblüffend ähnlich ist. Kriegstreiber oder Friedenspolitiker, Modernisierungsverhinderer oder weißer Revolutionär, Nationalheld oder Dämon der Deutschen: Die Liste der Beinamen, die Bismarck gegeben worden sind, ist lang. Doch der ""Reichsgründer"" war weder ein Übermensch noch ein Monster. Er feierte spektakuläre Erfolge und erlebte die größten Pannen, er war ein jähzorniger Choleriker und ein liebevoller Ehemann, ein treuer Freund Wilhelms I. ebenso wie ein rücksichtsloser Vollblutpolitiker. Aus solchen scheinbaren Widersprüchen setzt dieses Buch eine neue Sicht auf den ""Eisernen Kanzler"" jenseits der Mythen zusammen und zeichnet das Bild eines pragmatischen preußischen Konservativen. Dabei wird der Preuße Bismarck zum ersten Mal konsequent in die europäische Geschichte des 19. Jahrhunderts eingeordnet, die durch wachsende internationale und globale Vernetzung geprägt war - wie unsere heutige Welt auch.";http://books.google.com/books/publisher/content?id=kEnrBwAAQBAJ&printsec=frontcover&img=1&zoom=2&imgtk=AFLRE72Ugc33UYWG-_HQrzIC1BkTdAcV3d-f8IZYubeSTe6SuAkPgHz2Hj-INbZdS-XYUM2hCLIT7nBhWk87veS1TcFpRK8bhKcB9Cm8n3rAHFnlC9yWiZfnVzeUv7Pr0sW_h0kxV299&source=gbs_api;http://books.google.com/books/content?id=kEnrBwAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api;;;400;de;;;;;;Nonn,Christoph;C.H.Beck;Biography & Autobiography;;read;2022-11-12;2022-11-17
